ID;Variable;Question;Details;Type;Possible_Answers;Observations
206;G4_05_policy_existence;En mi organización existen políticas vigentes y explícitas para: [Garantizar la participación de mujeres (cuota de género).];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
207;G4_06_policy_existence;En mi organización existen políticas vigentes y explícitas para: [Atraer la participación de mujeres en campos STEM.];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
208;G4_07_policy_existence;En mi organización existen políticas vigentes y explícitas para: [Organizar programas de tutoría para mujeres jóvenes (como conocer mujeres ingenieras, etc.).];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
209;G4_08_policy_existence;En mi organización existen políticas vigentes y explícitas para: [Demostrar acciones afirmativas como contratar a mujeres o minorías de grupos sociales excluidos.];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
210;G4_09_policy_existence;En mi organización existen políticas vigentes y explícitas para: [Retener y empoderar a mujeres de áreas STEM.];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
211;G4_10_barriers;En mi organización existen políticas vigentes y explícitas para: [Apoyar el crecimiento profesional de las mujeres.];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
212;G4_11_barriers;En mi organización existen políticas vigentes y explícitas para: [Brindar apoyo financiero a estudiantes mujeres en áreas STEM];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
213;G5_01_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya garantizado un mismo salario por el mismo trabajo];Variables dependientes: barreras enfrentadas;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
214;G5_02_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya preservado un balance entre la vida laboral y personal];Variables dependientes: barreras enfrentadas;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
215;G5_03_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya erradicado el acoso sexual y violencia];Variables dependientes: barreras enfrentadas;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
216;G5_04_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya garantizado una paridad de género para puestos de liderazgo/políticos.];Variables dependientes: barreras enfrentadas;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
217;G5_05_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya garantizado la participación de mujeres (cuota de género)];Variables dependientes: barreras enfrentadas;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
218;G5_06_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya atraído la participación de mujeres en campos STEM.];Variables dependientes: barreras enfrentadas;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
219;G5_07_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya organizado programas de tutoría para mujeres jóvenes (como conocer mujeres ingenieras, etc.)];Variables dependientes: barreras enfrentadas;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
220;G5_08_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya aplicado acciones afirmativas como contratar a mujeres o minorías de grupos sociales excluidos.];Variables dependientes: barreras enfrentadas;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
221;G5_09_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya retenido o empoderado a las mujeres de áreas STEM];Variables dependientes: barreras enfrentadas;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
222;G5_10_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya apoyado el crecimiento profesional de las mujeres.];Variables dependientes: barreras enfrentadas;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
223;G5_11_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya brindado apoyo financiero a estudiantes mujeres en áreas STEM.];Variables dependientes: barreras enfrentadas;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
224;G6_open_data_importance;Considero totalmente útil una plataforma de datos abiertos sobre la desigualdad de género en los campos STEM;Survey;Dicotómica;"1  Si 
0  No";
225;G7_IT_area;Área;Carrera;Dicotómica;"1  IT 
0  Otra que no sea  IT";Only for Peru and Brasil 
226;Problem_case;Problemas identificados en las variables D8_1-4, D9_2_1-4, D12_1. ;Survey;Factor;"0 No Problem
1 Potencial Problem";
