ID;Variable;Question;Details;Type;Possible_Answers;Obsertations;
196;G4_07_policy_existence;En mi organización existen políticas vigentes y explícitas para: [Organizar programas de tutoría para mujeres jóvenes (como conocer mujeres ingenieras, etc.).];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
197;G4_08_policy_existence;En mi organización existen políticas vigentes y explícitas para: [Demostrar acciones afirmativas como contratar a mujeres o minorías de grupos sociales excluidos.];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
198;G4_09_policy_existence;En mi organización existen políticas vigentes y explícitas para: [Retener y empoderar a mujeres de áreas STEM.];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
199;G4_10_barriers;En mi organización existen políticas vigentes y explícitas para: [Apoyar el crecimiento profesional de las mujeres.];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
200;G4_11_barriers;En mi organización existen políticas vigentes y explícitas para: [Brindar apoyo financiero a estudiantes mujeres en áreas STEM];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
201;G5_01_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya garantizado un mismo salario por el mismo trabajo];Variables dependientes: barreras enfrentadas;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
202;G5_02_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya preservado un balance entre la vida laboral y personal];Variables dependientes: barreras enfrentadas;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
203;G5_03_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya erradicado el acoso sexual y violencia];Variables dependientes: barreras enfrentadas;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
204;G5_04_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya garantizado una paridad de género para puestos de liderazgo/políticos.];Variables dependientes: barreras enfrentadas;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
205;G5_05_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya garantizado la participación de mujeres (cuota de género)];Variables dependientes: barreras enfrentadas;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
206;G5_06_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya atraído la participación de mujeres en campos STEM.];Variables dependientes: barreras enfrentadas;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
207;G5_07_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya organizado programas de tutoría para mujeres jóvenes (como conocer mujeres ingenieras, etc.)];Variables dependientes: barreras enfrentadas;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
208;G5_08_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya aplicado acciones afirmativas como contratar a mujeres o minorías de grupos sociales excluidos.];Variables dependientes: barreras enfrentadas;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
209;G5_09_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya retenido o empoderado a las mujeres de áreas STEM];Variables dependientes: barreras enfrentadas;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
210;G5_10_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya apoyado el crecimiento profesional de las mujeres.];Variables dependientes: barreras enfrentadas;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
211;G5_11_barriers;En mi experiencia, he sufrido las consecuencias de que en mi organización  [No se haya brindado apoyo financiero a estudiantes mujeres en áreas STEM.];Variables dependientes: barreras enfrentadas;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
212;G6_open_data_importance;Considero totalmente útil una plataforma de datos abiertos sobre la desigualdad de género en los campos STEM;Survey;Dicotómica;"Si 
No";dictionary_si_no.csv;
213;G7_IT_area;Área;Carrera;Dicotómica;"IT 
Otra que no sea  IT";dictionary_G7_IT_area.csv;
214;Problem_case;Problemas identificados en las variables D8_1-4, D9_2_1-4, D12_1. ;Survey;Factor;"No hay problema
Problema potencial";dictionary_Problem_case.csv;
